experiment,method,seed,d,n,n_over_d,sigma_type,alpha,mu_direction,mu_norm_l2,mu_norm_sigma,mu_norm_sigma_inv,trace_sigma,sigma_op_norm,sigma_fro_norm,M_trace,M_mu,T,step,alignment_to_wstar,alignment_to_ls,alignment_to_svm,loss_value,min_margin,svm_primal_violation,svm_dual_feasibility_min_alpha,svm_kkt_complementarity,svm_primal_dual_gap,support_vector_fraction,solver_status,lambda_signal,lambda_bulk,bulk_rank,bulk_random_fraction,M_iso,A_svm_wstar,A_ls_wstar,A_svm_ls,gram_condition_number,r_min,prop41_condition_empirical,solver_nit,solver_success,active_set_polished,active_set_polish_iterations,panel,scaling_regime,rho,sigma_label,fixed_mu_norm_l2
exact_spectrum_scaling_alignment_geometric_mu,svm,3520000,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7965404134662772,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,2.048577328299072e-05,2.336849593099208e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7965404134662772,0.7965404134662772,1.0000000000000002,5.187298589518835,1.024288664149536e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520001,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7939356962306383,0.9999999999999998,NA,NA,0.999999999999999,9.992007221626409e-16,3.9391681440320895e-05,2.615828396878258e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7939356962306383,0.7939356962306383,0.9999999999999998,4.867324843616281,1.9695840720160447e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520002,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7954859481940356,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,6.198133491499846e-05,2.836322029046379e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7954859481940356,0.7954859481940356,1.0000000000000002,5.104830964582317,3.099066745749923e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520003,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7870867505941274,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,4.1033772321272526e-05,2.8458196191560374e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7870867505941274,0.7870867505941274,1.0,4.818439542949399,2.0516886160636263e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520004,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7955219958285756,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,6.206105987009047e-05,3.157060995279987e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7955219958285756,0.7955219958285756,1.0000000000000002,4.943054496164608,3.1030529935045234e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520005,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.79375049490748,1.0,NA,NA,0.9999999999999996,4.440892098500626e-16,8.620318230872419e-05,3.164535274911801e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.79375049490748,0.79375049490748,1.0,4.85294760289702,4.3101591154362095e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520006,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7937520871763931,1.0,NA,NA,0.9999999999999993,6.661338147750939e-16,1.805405913127554e-05,2.7908888497670356e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7937520871763931,0.7937520871763931,1.0,5.3008237243451894,9.02702956563777e-06,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520007,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7955742106638932,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,5.5736881989389065e-05,1.6328691008991461e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7955742106638932,0.7955742106638932,1.0000000000000002,4.883354254424545,2.7868440994694532e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520008,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7907377638388122,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,5.6306747177280346e-05,2.9239730762103584e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.2,0.7907377638388122,0.7907377638388122,1.0000000000000002,4.872538954749163,2.8153373588640173e-05,True,0,True,False,0,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
exact_spectrum_scaling_alignment_geometric_mu,svm,3520009,2000,100,0.05,isotropic,NA,geometric,6.29396140837744,6.29396140837744,6.29396140837744,2000.0,1.0,44.721359549995796,0.4472135954999579,6.29396140837744,25.88950308982127,NA,0.7929298730971381,0.9995282110306043,NA,NA,0.9999999999999991,8.881784197001252e-16,0.0,3.187102750476825e-19,-6.938893903907228e-18,0.98,lbfgsb:0:CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH|active_set_polished,NA,NA,0,NA,0.2,0.7929298730971381,0.7899602482499402,0.9995282110306043,5.0047766384252945,-9.393926261920996e-05,False,9,True,True,1,fixed_rate_vary_d,fixed-rate,0.05,isotropic,6.293961408377439
